ERROR 2017-05-06 11:20:23,815 1603224ms AdminController        MyChart            - Object reference not set to an instance of an object.
DEBUG 2017-05-06 11:20:23,815 1603224ms AdminController        MyChart            -  Time Error Occured :5/6/2017 11:20:23 AM
DEBUG 2017-05-06 11:20:23,816 1603225ms AdminController        MyChart            - ****************
DEBUG 2017-05-06 11:20:23,913 1603323ms AdminController        DispPie            - ****************
ERROR 2017-05-06 11:20:23,913 1603323ms AdminController        DispPie            - Object reference not set to an instance of an object.
DEBUG 2017-05-06 11:20:23,914 1603324ms AdminController        DispPie            -  Time Error Occured :5/6/2017 11:20:23 AM
DEBUG 2017-05-06 11:20:23,914 1603324ms AdminController        DispPie            - ****************
DEBUG 2017-05-06 11:38:13,668 2673078ms AdminController        MyChart            - ****************
ERROR 2017-05-06 11:38:13,681 2673090ms AdminController        MyChart            - Object reference not set to an instance of an object.
DEBUG 2017-05-06 11:38:13,682 2673092ms AdminController        MyChart            -  Time Error Occured :5/6/2017 11:38:13 AM
DEBUG 2017-05-06 11:38:13,684 2673093ms AdminController        MyChart            - ****************
DEBUG 2017-05-06 11:40:47,932 2827342ms AdminController        MyChart            - ****************
ERROR 2017-05-06 11:40:47,934 2827344ms AdminController        MyChart            - Object reference not set to an instance of an object.
DEBUG 2017-05-06 11:40:47,935 2827345ms AdminController        MyChart            -  Time Error Occured :5/6/2017 11:40:47 AM
DEBUG 2017-05-06 11:40:47,936 2827346ms AdminController        MyChart            - ****************
DEBUG 2017-05-06 11:40:48,201 2827610ms AdminController        DispPie            - ****************
ERROR 2017-05-06 11:40:48,202 2827611ms AdminController        DispPie            - Object reference not set to an instance of an object.
DEBUG 2017-05-06 11:40:48,203 2827612ms AdminController        DispPie            -  Time Error Occured :5/6/2017 11:40:48 AM
DEBUG 2017-05-06 11:40:48,204 2827613ms AdminController        DispPie            - ****************
DEBUG 2017-05-06 11:54:04,777 763473ms AdminController        MyChart            - ****************
ERROR 2017-05-06 11:54:04,901 763598ms AdminController        MyChart            - Object reference not set to an instance of an object.
DEBUG 2017-05-06 11:54:04,903 763600ms AdminController        MyChart            -  Time Error Occured :5/6/2017 11:54:04 AM
DEBUG 2017-05-06 11:54:04,906 763603ms AdminController        MyChart            - ****************
DEBUG 2017-05-06 11:54:05,101 763797ms AdminController        DispPie            - ****************
ERROR 2017-05-06 11:54:05,104 763800ms AdminController        DispPie            - Object reference not set to an instance of an object.
DEBUG 2017-05-06 11:54:05,109 763805ms AdminController        DispPie            -  Time Error Occured :5/6/2017 11:54:05 AM
DEBUG 2017-05-06 11:54:05,111 763807ms AdminController        DispPie            - ****************
DEBUG 2017-05-06 11:55:56,718 875414ms AdminController        MyChart            - ****************
ERROR 2017-05-06 11:55:56,721 875417ms AdminController        MyChart            - Object reference not set to an instance of an object.
DEBUG 2017-05-06 11:55:56,722 875418ms AdminController        MyChart            -  Time Error Occured :5/6/2017 11:55:56 AM
DEBUG 2017-05-06 11:55:56,724 875420ms AdminController        MyChart            - ****************
DEBUG 2017-05-06 11:55:56,991 875687ms AdminController        DispPie            - ****************
ERROR 2017-05-06 11:55:56,992 875688ms AdminController        DispPie            - Object reference not set to an instance of an object.
DEBUG 2017-05-06 11:55:56,993 875689ms AdminController        DispPie            -  Time Error Occured :5/6/2017 11:55:56 AM
DEBUG 2017-05-06 11:55:56,994 875690ms AdminController        DispPie            - ****************
